Recording	Participant	age_group	gender	Timeline	TOI	Interval	Media	calorie	AOI	product_attributes	purchase_decision	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording1	p01	26-33	male	Timeline1	cake	1	cake	high	buy		buy		317	158	117	200	2	2277	200	picture	picture	2.78967	317	158	117	200	2	2277	200	2.78967	367	367	367	367	1	2277	367	433	433	433	433	1	2211	433	1	3067	790	0			1	2211		298.51													
Recording1	p01	26-33	male	Timeline1	cake	1	cake	high	ingredients	specifications			0				0			picture	picture		0				0				0				0			0				0			0			0			0																
Recording1	p01	26-33	male	Timeline1	cake	1	cake	high	name	name			983	164	67	267	6	744	267	picture	picture	2.78034	983	164	67	267	6	744	267	2.78034	1117	372	267	550	3	744	267	1200	400	283	567	3	727	283	0			0			1	727	2211	86.67													
Recording1	p01	26-33	male	Timeline1	cake	1	cake	high	not-buy		not-buy		0				0			picture	picture		0				0				0				0			0				0			0			0			0																
Recording1	p01	26-33	male	Timeline1	cake	1	cake	high	Nutrition	specifications			0				0			picture	picture		0				0				0				0			0				0			0			0			0																
Recording1	p01	26-33	male	Timeline1	cake	1	cake	high	picture	Picture			700	100	56	144	7	0	144	picture	picture	2.86195	500	100	67	133	5	311	133	2.87808	1017	339	56	517	3	0	444	1050	350	73	534	3	0	444	0			0			2	3027		69.7													
Recording1	p01	26-33	male	Timeline1	cake	1	cake	high	price	specifications			0				0			picture	picture		0				0				0				0			0				0			0			0			0																
Recording1	p01	26-33	male	Timeline1	cereal	1	cereal	low	buy		buy		117	117	117	117	1	7294	117	picture	picture	2.85878	117	117	117	117	1	7294	117	2.85878	117	117	117	117	1	7294	117	133	133	133	133	1	7277	133	1	7670	376	0			0																
Recording1	p01	26-33	male	Timeline1	cereal	1	cereal	low	ingredients	specifications			734	183	67	283	4	3327	67	picture	picture	2.77452	734	183	67	283	4	3327	67	2.77452	817	272	67	567	3	3327	67	884	295	84	600	3	3311	84	0			0			0	4161	4761	112.07													
Recording1	p01	26-33	male	Timeline1	cereal	1	cereal	low	name	name			750	187	100	317	4	478	317	picture	picture	2.80901	750	187	100	317	4	478	317	2.80901	867	289	100	450	3	478	317	933	311	133	467	3	461	333	0			0			0	1711	795	53.84													
Recording1	p01	26-33	male	Timeline1	cereal	1	cereal	low	not-buy		not-buy		0				0			picture	picture		0				0				0				0			0				0			0			0			0																
Recording1	p01	26-33	male	Timeline1	cereal	1	cereal	low	Nutrition	specifications			1782	162	67	300	11	1945	300	picture	picture	2.842	1782	162	67	300	11	1945	300	2.842	2615	1308	583	2033	2	1945	583	2699	1349	599	2099	2	1928	599	0			0			2	4761	2527	511.84													
Recording1	p01	26-33	male	Timeline1	cereal	1	cereal	low	picture	Picture			967	138	67	217	7	0	145	picture	picture	2.8481	650	130	67	217	5	195	67	2.82976	1101	220	83	400	5	0	261	1317	263	189	450	5	0	261	0			0			0	795	1711	38.53													
Recording1	p01	26-33	male	Timeline1	cereal	1	cereal	low	price	specifications			333	167	117	217	2	3528	117	picture	picture	2.69519	333	167	117	217	2	3528	117	2.69519	333	167	117	217	2	3528	117	367	183	133	233	2	3511	133	0			0			0		4161														
Recording1	p01	26-33	male	Timeline1	date	1	date	low	buy		buy		123	61	39	83	2	5327	83	buy	buy	2.87706	83	83	83	83	1	5327	83	2.85554	123	61	39	83	2	5327	83	223	111	89	133	2	5277	133	1	5795	467	0			0	5277		104.65													
Recording1	p01	26-33	male	Timeline1	date	1	date	low	ingredients	specifications			300	100	67	133	3	1878	133	buy	buy	2.7853	300	100	67	133	3	1878	133	2.7853	450	225	100	350	2	1878	350	517	258	150	367	2	1861	367	0			0			0	2395	2228	301.69													
Recording1	p01	26-33	male	Timeline1	date	1	date	low	name	name			350	117	83	150	3	2928	150	buy	buy	2.73995	350	117	83	150	3	2928	150	2.73995	417	208	150	267	2	2928	150	467	233	167	300	2	2911	167	0			0			0		3078														
Recording1	p01	26-33	male	Timeline1	date	1	date	low	not-buy		not-buy		0				0			buy	buy		0				0				0				0			0				0			0			0			0																
Recording1	p01	26-33	male	Timeline1	date	1	date	low	Nutrition	specifications			699	140	83	249	5	3661	117	buy	buy	2.86794	699	140	83	249	5	3661	117	2.86794	1116	1116	1116	1116	1	3661	1116	1183	1183	1183	1183	1	3594	1183	0			0			1	3594		365.79													
