Recording	Participant	Timeline	TOI	Interval	Media	AOI	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording1	test 1	Timeline1	cake	1	cake	cake		942	314	70	507	3	3918	70	cake		3.50018	507	507	507	507	1	4182	507	3.48751	1348	1348	1348	1348	1	3918	1348	1348	1348	1348	1348	1	3918	1348	1	7452	3534	0			0																
Recording1	test 1	Timeline1	cereal	1	cereal	creal		3015	215	64	519	14	0	152	creal		3.10297	2700	225	64	519	12	184	168	3.10128	4202	4202	4202	4202	1	0	4202	4202	4202	4202	4202	1	0	4202	1	4524	4524	0			8		4202														
Recording1	test 1	Timeline1	date	1	date	date		3028	336	68	793	9	50	125	date	date	3.03219	2723	340	68	793	8	50	125	3.0023	4556	4556	4556	4556	1	50	4556	4607	4607	4607	4607	1	0	4607	1	4555	4504	0			6																
Recording1	test 1	Timeline1	ice-cream	1	ice-cream	ice-cream		2344	260	20	768	9	2047	131	ice-cream	ice-cream	3.27559	2129	355	99	768	6	2211	267	3.2724	2786	2786	2786	2786	1	2047	2786	2786	2786	2786	2786	1	2047	2786	1	4779	2732	0			6																
Recording1	test 1	Timeline1	pizza	1	pizza	pizza		702	117	68	236	6	0	90	pizza		3.61544	507	127	68	236	4	199	69	3.57223	1379	1379	1379	1379	1	0	1379	1379	1379	1379	1379	1	0	1379	1	4919	4919	0			2		1379														
Recording1	test 1	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,pizza	cake		942	314	70	507	3	1135954	70	creal		3.50018	507	507	507	507	1	1136218	507	3.48751	1348	1348	1348	1348	1	1135954	1348	1348	1348	1348	1348	1	1135954	1348	1	1139488	3534	0			0																
Recording1	test 1	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,pizza	creal		3015	215	64	519	14	1155020	152	creal		3.10297	2700	225	64	519	12	1155204	168	3.10128	4202	4202	4202	4202	1	1155020	4202	4202	4202	4202	4202	1	1155020	4202	1	1159544	4524	0			8		1159222														
Recording1	test 1	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,pizza	date		3028	336	68	793	9	1149104	125	creal		3.03219	2723	340	68	793	8	1149104	125	3.0023	4556	4556	4556	4556	1	1149104	4556	4625	4625	4625	4625	1	1149036	4625	1	1153608	4504	0			6	1149036		72.47													
Recording1	test 1	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,pizza	ice-cream		2344	260	20	768	9	1144228	131	creal		3.27559	2129	355	99	768	6	1144392	267	3.2724	2786	2786	2786	2786	1	1144228	2786	2786	2786	2786	2786	1	1144228	2786	1	1146960	2732	0			6																
Recording1	test 1	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,pizza	pizza		702	117	68	236	6	1124761	90	creal		3.61544	507	127	68	236	4	1124960	69	3.57223	1379	1379	1379	1379	1	1124761	1379	1379	1379	1379	1379	1	1124761	1379	1	1129680	4919	0			2		1126139														
