timestamp,norm_pos_x,norm_pos_y,confidence,diameter_3d_mm,participant,recording
0.0,0.25609,0.39641,0.878,3.2591,demo_p01,demo_rec_01
0.0083,0.2292,0.40394,0.866,3.1848,demo_p01,demo_rec_01
0.0167,0.26501,0.41641,0.937,3.1918,demo_p01,demo_rec_01
0.025,0.26881,0.39213,0.939,3.1784,demo_p01,demo_rec_01
0.0333,0.21098,0.41042,0.984,3.1749,demo_p01,demo_rec_01
0.0417,0.22396,0.39468,0.975,3.2396,demo_p01,demo_rec_01
0.05,0.25256,0.39765,0.913,3.2187,demo_p01,demo_rec_01
0.0583,0.24368,0.41659,0.858,3.2395,demo_p01,demo_rec_01
0.0667,0.24966,0.36014,0.904,3.2074,demo_p01,demo_rec_01
0.075,0.23294,0.37407,0.931,3.2345,demo_p01,demo_rec_01
0.0833,0.26759,0.37036,0.91,3.1889,demo_p01,demo_rec_01
0.0917,0.26556,0.35333,0.891,3.3223,demo_p01,demo_rec_01
0.1,0.25132,0.38643,0.933,3.1334,demo_p01,demo_rec_01
0.1083,0.27254,0.41499,0.895,3.2758,demo_p01,demo_rec_01
0.1167,0.25935,0.3943,0.889,3.2821,demo_p01,demo_rec_01
0.125,0.23281,0.40396,0.936,3.1721,demo_p01,demo_rec_01
0.1333,0.25738,0.42178,0.9,3.3271,demo_p01,demo_rec_01
0.1417,0.23082,0.42655,0.932,3.2664,demo_p01,demo_rec_01
0.15,0.26757,0.39862,0.934,3.2662,demo_p01,demo_rec_01
0.1583,0.249,0.42707,0.863,3.22,demo_p01,demo_rec_01
0.1667,0.2463,0.40184,0.896,3.2087,demo_p01,demo_rec_01
0.175,0.23638,0.38325,0.992,3.2101,demo_p01,demo_rec_01
0.1833,0.27445,0.38811,0.862,3.2411,demo_p01,demo_rec_01
0.1917,0.24691,0.37039,0.814,3.2926,demo_p01,demo_rec_01
0.2,0.24143,0.38224,0.827,3.2325,demo_p01,demo_rec_01
0.2083,0.24296,0.39284,0.921,3.1789,demo_p01,demo_rec_01
0.2167,0.26065,0.41607,0.922,3.2666,demo_p01,demo_rec_01
0.225,0.25731,0.43442,0.914,3.2724,demo_p01,demo_rec_01
0.2333,0.25825,0.37236,0.981,3.2601,demo_p01,demo_rec_01
0.2417,0.25862,0.40786,0.786,3.2656,demo_p01,demo_rec_01
0.25,0.29283,0.37919,0.94,3.2157,demo_p01,demo_rec_01
0.2583,0.24187,0.40949,0.998,3.1838,demo_p01,demo_rec_01
0.2667,0.23976,0.39738,0.864,3.1878,demo_p01,demo_rec_01
0.275,0.23372,0.36338,0.901,3.1504,demo_p01,demo_rec_01
0.2833,0.26232,0.41857,0.882,3.245,demo_p01,demo_rec_01
0.2917,0.27258,0.3879,0.875,3.2299,demo_p01,demo_rec_01
0.3,0.24772,0.38932,0.904,3.213,demo_p01,demo_rec_01
0.3083,0.2332,0.3786,0.991,3.0882,demo_p01,demo_rec_01
0.3167,0.23351,0.38691,1.0,3.1746,demo_p01,demo_rec_01
0.325,0.26301,0.40856,0.903,3.2939,demo_p01,demo_rec_01
0.3333,0.26487,0.39622,1.0,3.2056,demo_p01,demo_rec_01
0.3417,0.26086,0.40657,0.922,3.2578,demo_p01,demo_rec_01
0.35,0.23669,0.40724,1.0,3.1712,demo_p01,demo_rec_01
0.3583,0.25464,0.42641,0.915,3.3136,demo_p01,demo_rec_01
0.3667,0.25233,0.39314,0.927,3.2354,demo_p01,demo_rec_01
0.375,0.25437,0.37046,0.938,3.258,demo_p01,demo_rec_01
0.3833,0.26743,0.42134,1.0,3.3608,demo_p01,demo_rec_01
0.3917,0.25447,0.39337,0.963,3.3212,demo_p01,demo_rec_01
0.4,0.26358,0.42229,0.885,3.231,demo_p01,demo_rec_01
0.4083,0.25135,0.40767,0.968,3.2176,demo_p01,demo_rec_01
0.4167,0.25578,0.39738,0.902,3.2319,demo_p01,demo_rec_01
0.425,0.26263,0.40698,0.896,3.2746,demo_p01,demo_rec_01
0.4333,0.22086,0.43902,0.965,3.2448,demo_p01,demo_rec_01
0.4417,0.24361,0.44154,0.922,3.2312,demo_p01,demo_rec_01
0.45,0.24059,0.40139,0.934,3.3253,demo_p01,demo_rec_01
0.4583,0.23722,0.4032,0.921,3.2471,demo_p01,demo_rec_01
0.4667,0.2445,0.42152,0.937,3.3687,demo_p01,demo_rec_01
0.475,0.2799,0.38309,0.941,3.2592,demo_p01,demo_rec_01
0.4833,0.23268,0.40666,0.823,3.3448,demo_p01,demo_rec_01
0.4917,0.26937,0.39948,0.953,3.2744,demo_p01,demo_rec_01
0.5,0.21634,0.40628,0.871,3.3056,demo_p01,demo_rec_01
0.5083,0.2433,0.38333,0.848,3.2221,demo_p01,demo_rec_01
0.5167,0.25326,0.36821,0.917,3.2165,demo_p01,demo_rec_01
