timestamp,diameter_mm,task_phase,participant,trial
0.0,3.373,baseline,demo_p01,1
0.0167,3.4473,baseline,demo_p01,1
0.0333,3.3489,baseline,demo_p01,1
0.05,3.3568,baseline,demo_p01,1
0.0667,3.4333,baseline,demo_p01,1
0.0833,3.4407,baseline,demo_p01,1
0.1,3.3777,baseline,demo_p01,1
0.1167,3.3811,baseline,demo_p01,1
0.1333,3.4185,baseline,demo_p01,1
0.15,3.3302,baseline,demo_p01,1
0.1667,3.3442,baseline,demo_p01,1
0.1833,3.3916,baseline,demo_p01,1
0.2,3.4466,baseline,demo_p01,1
0.2167,3.387,baseline,demo_p01,1
0.2333,3.4031,baseline,demo_p01,1
0.25,3.4341,baseline,demo_p01,1
0.2667,3.4633,baseline,demo_p01,1
0.2833,3.3828,baseline,demo_p01,1
0.3,3.3996,baseline,demo_p01,1
0.3167,3.4548,baseline,demo_p01,1
0.3333,3.3545,baseline,demo_p01,1
0.35,3.431,baseline,demo_p01,1
0.3667,3.3696,baseline,demo_p01,1
0.3833,3.4033,baseline,demo_p01,1
0.4,3.3929,baseline,demo_p01,1
0.4167,3.3715,baseline,demo_p01,1
0.4333,3.3707,baseline,demo_p01,1
0.45,3.4085,baseline,demo_p01,1
0.4667,3.4301,baseline,demo_p01,1
0.4833,3.3964,baseline,demo_p01,1
0.5,3.4024,baseline,demo_p01,1
0.5167,3.4175,baseline,demo_p01,1
0.5333,3.3712,baseline,demo_p01,1
0.55,3.4226,baseline,demo_p01,1
0.5667,3.425,baseline,demo_p01,1
0.5833,3.4786,baseline,demo_p01,1
0.6,3.3892,baseline,demo_p01,1
0.6167,3.3868,baseline,demo_p01,1
0.6333,3.4236,baseline,demo_p01,1
0.65,3.4252,baseline,demo_p01,1
0.6667,3.3846,baseline,demo_p01,1
0.6833,3.3886,baseline,demo_p01,1
0.7,3.417,baseline,demo_p01,1
0.7167,3.376,baseline,demo_p01,1
0.7333,3.3886,baseline,demo_p01,1
0.75,3.4036,baseline,demo_p01,1
0.7667,3.4309,baseline,demo_p01,1
0.7833,3.383,baseline,demo_p01,1
0.8,3.3459,baseline,demo_p01,1
0.8167,3.3438,baseline,demo_p01,1
0.8333,3.3636,baseline,demo_p01,1
0.85,3.3621,baseline,demo_p01,1
0.8667,3.3969,baseline,demo_p01,1
0.8833,3.366,baseline,demo_p01,1
0.9,3.3807,baseline,demo_p01,1
0.9167,3.3787,baseline,demo_p01,1
0.9333,3.3888,baseline,demo_p01,1
0.95,3.4419,baseline,demo_p01,1
0.9667,3.4222,baseline,demo_p01,1
0.9833,3.403,baseline,demo_p01,1
1.0,3.3888,baseline,demo_p01,1
1.0167,3.3898,baseline,demo_p01,1
1.0333,3.4128,baseline,demo_p01,1
1.05,3.4207,baseline,demo_p01,1
1.0667,3.3762,baseline,demo_p01,1
1.0833,3.4047,baseline,demo_p01,1
1.1,3.3429,baseline,demo_p01,1
1.1167,3.4105,baseline,demo_p01,1
1.1333,3.4273,baseline,demo_p01,1
1.15,3.3963,baseline,demo_p01,1
1.1667,3.4595,baseline,demo_p01,1
1.1833,3.3788,baseline,demo_p01,1
1.2,3.4121,baseline,demo_p01,1
1.2167,3.4049,baseline,demo_p01,1
1.2333,3.4033,baseline,demo_p01,1
1.25,3.4033,baseline,demo_p01,1
1.2667,3.4103,baseline,demo_p01,1
1.2833,3.433,baseline,demo_p01,1
1.3,3.4493,baseline,demo_p01,1
1.3167,3.4084,baseline,demo_p01,1
1.3333,3.4334,baseline,demo_p01,1
1.35,3.3884,baseline,demo_p01,1
1.3667,3.433,baseline,demo_p01,1
1.3833,3.3877,baseline,demo_p01,1
1.4,3.4439,baseline,demo_p01,1
1.4167,3.4781,baseline,demo_p01,1
1.4333,3.4088,baseline,demo_p01,1
1.45,3.3474,baseline,demo_p01,1
1.4667,3.3974,baseline,demo_p01,1
1.4833,3.4516,baseline,demo_p01,1
1.5,3.432,task,demo_p01,1
1.5167,3.4237,task,demo_p01,1
1.5333,3.4473,task,demo_p01,1
1.55,3.4325,task,demo_p01,1
1.5667,3.4554,task,demo_p01,1
1.5833,3.4474,task,demo_p01,1
1.6,3.4665,task,demo_p01,1
1.6167,3.4327,task,demo_p01,1
1.6333,3.4502,task,demo_p01,1
1.65,3.4149,task,demo_p01,1
1.6667,3.4073,task,demo_p01,1
1.6833,3.4778,task,demo_p01,1
1.7,3.4343,task,demo_p01,1
1.7167,3.4533,task,demo_p01,1
1.7333,3.4343,task,demo_p01,1
1.75,3.4144,task,demo_p01,1
1.7667,3.4338,task,demo_p01,1
1.7833,3.4781,task,demo_p01,1
1.8,3.4533,task,demo_p01,1
1.8167,3.3869,task,demo_p01,1
1.8333,3.4335,task,demo_p01,1
1.85,3.4952,task,demo_p01,1
1.8667,3.4371,task,demo_p01,1
1.8833,3.3914,task,demo_p01,1
1.9,3.5042,task,demo_p01,1
1.9167,3.4698,task,demo_p01,1
1.9333,3.4493,task,demo_p01,1
1.95,3.4424,task,demo_p01,1
1.9667,3.4882,task,demo_p01,1
1.9833,3.4418,task,demo_p01,1
2.0,3.4948,task,demo_p01,1
2.0167,,task,demo_p01,1
2.0333,,task,demo_p01,1
2.05,,task,demo_p01,1
2.0667,,task,demo_p01,1
2.0833,,task,demo_p01,1
2.1,,task,demo_p01,1
2.1167,,task,demo_p01,1
2.1333,3.4998,task,demo_p01,1
2.15,3.5032,task,demo_p01,1
2.1667,3.5017,task,demo_p01,1
2.1833,3.5026,task,demo_p01,1
2.2,3.4839,task,demo_p01,1
2.2167,3.5203,task,demo_p01,1
2.2333,3.4986,task,demo_p01,1
2.25,3.4886,task,demo_p01,1
2.2667,3.4973,task,demo_p01,1
2.2833,3.5707,task,demo_p01,1
2.3,3.4616,task,demo_p01,1
2.3167,3.5322,task,demo_p01,1
2.3333,3.4705,task,demo_p01,1
2.35,3.5213,task,demo_p01,1
2.3667,3.5153,task,demo_p01,1
2.3833,3.4696,task,demo_p01,1
2.4,3.5477,task,demo_p01,1
2.4167,3.5285,task,demo_p01,1
2.4333,3.4809,task,demo_p01,1
2.45,3.5731,task,demo_p01,1
2.4667,3.595,task,demo_p01,1
2.4833,3.6008,task,demo_p01,1
2.5,3.571,task,demo_p01,1
2.5167,3.5658,task,demo_p01,1
2.5333,3.6085,task,demo_p01,1
2.55,3.6234,task,demo_p01,1
2.5667,3.6112,task,demo_p01,1
2.5833,3.5533,task,demo_p01,1
