Recording,Participant,Media,AOI,Number_of_fixations,Total_duration_of_fixations,Average_duration_of_fixations,Time_to_first_fixation,Average_pupil_diameter,Number_of_Visits,condition
Recording_p01,p01,cake,product,8,1112.3,139.0,1116.6,3.005,0,low_cal
Recording_p01,p01,cake,ingredients,4,2469.1,617.3,81.6,3.434,0,low_cal
Recording_p01,p01,cake,buy_button,6,1199.5,199.9,1957.2,3.465,1,high_cal
Recording_p01,p01,cereal,product,1,129.3,129.3,1893.6,3.172,3,low_cal
Recording_p01,p01,cereal,ingredients,0,0.0,0.0,,,0,low_cal
Recording_p01,p01,cereal,buy_button,5,2325.3,465.1,1029.7,4.16,4,high_cal
Recording_p01,p01,date,product,10,2148.8,214.9,924.1,3.191,2,high_cal
Recording_p01,p01,date,ingredients,10,974.7,97.5,1084.9,4.167,1,high_cal
Recording_p01,p01,date,buy_button,8,77.7,9.7,814.1,3.08,1,low_cal
Recording_p01,p01,ice-cream,product,8,453.3,56.7,1365.9,3.169,2,high_cal
Recording_p01,p01,ice-cream,ingredients,4,1791.9,448.0,959.7,3.306,1,high_cal
Recording_p01,p01,ice-cream,buy_button,10,1429.9,143.0,467.0,4.06,2,high_cal
Recording_p02,p02,cake,product,8,1236.5,154.6,291.7,3.134,0,low_cal
Recording_p02,p02,cake,ingredients,8,326.9,40.9,1623.5,4.112,1,low_cal
Recording_p02,p02,cake,buy_button,1,1784.0,1784.0,1986.0,3.278,3,low_cal
Recording_p02,p02,cereal,product,1,1297.9,1297.9,1089.8,3.049,2,low_cal
Recording_p02,p02,cereal,ingredients,4,2319.2,579.8,565.9,2.855,0,low_cal
Recording_p02,p02,cereal,buy_button,1,600.6,600.6,584.1,2.846,1,high_cal
Recording_p02,p02,date,product,3,946.6,315.5,801.1,3.275,0,high_cal
Recording_p02,p02,date,ingredients,3,224.3,74.8,99.1,3.083,1,low_cal
Recording_p02,p02,date,buy_button,7,2321.3,331.6,1033.2,3.545,4,low_cal
Recording_p02,p02,ice-cream,product,3,1934.8,644.9,1541.3,3.982,2,low_cal
Recording_p02,p02,ice-cream,ingredients,2,1917.2,958.6,1622.5,3.232,2,high_cal
Recording_p02,p02,ice-cream,buy_button,11,235.9,21.4,1988.8,3.878,0,high_cal
Recording_p03,p03,cake,product,3,85.4,28.5,1551.9,3.919,3,low_cal
Recording_p03,p03,cake,ingredients,7,2142.2,306.0,240.9,3.186,4,high_cal
Recording_p03,p03,cake,buy_button,10,1120.5,112.0,567.2,3.35,0,low_cal
Recording_p03,p03,cereal,product,5,2198.5,439.7,577.2,4.051,4,high_cal
Recording_p03,p03,cereal,ingredients,9,1256.3,139.6,864.6,3.16,1,high_cal
Recording_p03,p03,cereal,buy_button,6,379.5,63.2,736.3,3.592,2,high_cal
Recording_p03,p03,date,product,5,641.8,128.4,1941.1,3.899,4,high_cal
Recording_p03,p03,date,ingredients,11,2095.3,190.5,327.1,3.537,2,high_cal
Recording_p03,p03,date,buy_button,2,1460.4,730.2,563.7,4.101,4,low_cal
Recording_p03,p03,ice-cream,product,1,1409.7,1409.7,1456.0,2.882,1,low_cal
Recording_p03,p03,ice-cream,ingredients,2,168.8,84.4,1048.9,3.162,4,high_cal
Recording_p03,p03,ice-cream,buy_button,7,296.7,42.4,1877.3,4.053,1,high_cal
Recording_p04,p04,cake,product,3,1469.1,489.7,1450.2,3.42,1,high_cal
Recording_p04,p04,cake,ingredients,1,260.4,260.4,1999.5,3.437,1,low_cal
Recording_p04,p04,cake,buy_button,3,2305.9,768.6,221.1,2.96,2,low_cal
Recording_p04,p04,cereal,product,11,2368.7,215.3,663.7,3.297,3,high_cal
Recording_p04,p04,cereal,ingredients,8,475.1,59.4,1801.8,3.155,2,high_cal
Recording_p04,p04,cereal,buy_button,8,167.9,21.0,125.6,3.715,0,high_cal
Recording_p04,p04,date,product,7,235.1,33.6,1902.2,3.848,3,high_cal
Recording_p04,p04,date,ingredients,10,341.2,34.1,674.3,3.316,4,low_cal
Recording_p04,p04,date,buy_button,5,151.6,30.3,769.3,3.156,1,low_cal
Recording_p04,p04,ice-cream,product,4,492.4,123.1,560.7,3.678,1,high_cal
Recording_p04,p04,ice-cream,ingredients,2,1334.8,667.4,1555.1,3.33,1,high_cal
Recording_p04,p04,ice-cream,buy_button,7,2415.5,345.1,1067.9,4.074,4,low_cal
Recording_p05,p05,cake,product,4,1072.7,268.2,1411.7,4.181,0,low_cal
Recording_p05,p05,cake,ingredients,5,232.0,46.4,1145.9,2.977,3,low_cal
Recording_p05,p05,cake,buy_button,0,0.0,0.0,,,2,high_cal
Recording_p05,p05,cereal,product,8,2173.4,271.7,1276.4,3.657,2,low_cal
Recording_p05,p05,cereal,ingredients,7,2172.6,310.4,121.0,3.579,4,low_cal
Recording_p05,p05,cereal,buy_button,2,2150.9,1075.5,1314.4,3.388,0,high_cal
Recording_p05,p05,date,product,10,1759.4,175.9,448.5,2.931,1,high_cal
Recording_p05,p05,date,ingredients,10,1910.5,191.1,439.6,3.209,0,low_cal
Recording_p05,p05,date,buy_button,1,1526.3,1526.3,649.9,3.219,3,low_cal
Recording_p05,p05,ice-cream,product,0,0.0,0.0,,,0,low_cal
Recording_p05,p05,ice-cream,ingredients,7,12.1,1.7,1472.5,4.128,0,high_cal
Recording_p05,p05,ice-cream,buy_button,9,1179.1,131.0,997.8,3.411,0,high_cal
Recording_p06,p06,cake,product,9,1077.9,119.8,1216.4,4.057,2,low_cal
Recording_p06,p06,cake,ingredients,11,196.9,17.9,800.1,3.053,3,high_cal
Recording_p06,p06,cake,buy_button,1,436.3,436.3,1539.9,3.495,1,low_cal
Recording_p06,p06,cereal,product,11,81.5,7.4,180.6,3.365,3,high_cal
Recording_p06,p06,cereal,ingredients,3,2465.1,821.7,457.5,3.077,1,high_cal
Recording_p06,p06,cereal,buy_button,6,1245.0,207.5,1181.9,3.327,1,low_cal
Recording_p06,p06,date,product,3,1071.0,357.0,1395.0,4.016,0,low_cal
Recording_p06,p06,date,ingredients,4,1419.4,354.9,184.8,3.038,3,high_cal
Recording_p06,p06,date,buy_button,6,720.1,120.0,1461.3,2.893,3,low_cal
Recording_p06,p06,ice-cream,product,10,2088.8,208.9,223.4,2.833,4,high_cal
Recording_p06,p06,ice-cream,ingredients,6,586.8,97.8,1119.1,3.397,4,high_cal
Recording_p06,p06,ice-cream,buy_button,9,1222.2,135.8,1026.3,4.185,2,high_cal
Recording_p07,p07,cake,product,6,129.4,21.6,981.4,4.041,4,high_cal
Recording_p07,p07,cake,ingredients,7,1713.0,244.7,563.5,3.386,0,high_cal
Recording_p07,p07,cake,buy_button,4,1155.6,288.9,687.5,3.228,2,low_cal
Recording_p07,p07,cereal,product,3,912.6,304.2,342.4,4.021,1,low_cal
Recording_p07,p07,cereal,ingredients,6,1734.6,289.1,1702.9,3.133,0,high_cal
Recording_p07,p07,cereal,buy_button,1,21.5,21.5,142.1,3.867,0,low_cal
Recording_p07,p07,date,product,3,1870.2,623.4,190.1,3.629,0,high_cal
Recording_p07,p07,date,ingredients,9,898.0,99.8,71.3,3.633,0,low_cal
Recording_p07,p07,date,buy_button,11,473.7,43.1,291.7,3.577,1,low_cal
Recording_p07,p07,ice-cream,product,7,1980.7,283.0,1518.5,4.05,1,low_cal
Recording_p07,p07,ice-cream,ingredients,2,1389.7,694.9,630.0,3.262,1,low_cal
Recording_p07,p07,ice-cream,buy_button,11,1704.7,155.0,1950.5,3.384,0,low_cal
Recording_p08,p08,cake,product,11,268.2,24.4,511.6,3.539,2,high_cal
Recording_p08,p08,cake,ingredients,0,0.0,0.0,,,4,low_cal
Recording_p08,p08,cake,buy_button,9,495.0,55.0,1542.4,2.936,0,high_cal
Recording_p08,p08,cereal,product,10,1814.3,181.4,183.8,3.769,4,low_cal
Recording_p08,p08,cereal,ingredients,3,2070.5,690.2,1450.8,3.621,3,high_cal
Recording_p08,p08,cereal,buy_button,3,1743.2,581.1,1916.1,3.623,0,low_cal
Recording_p08,p08,date,product,4,1890.3,472.6,1995.5,3.025,2,high_cal
Recording_p08,p08,date,ingredients,2,1348.6,674.3,988.7,3.6,0,high_cal
Recording_p08,p08,date,buy_button,5,1457.4,291.5,1191.1,3.72,2,low_cal
Recording_p08,p08,ice-cream,product,8,1603.9,200.5,1591.0,3.675,4,low_cal
Recording_p08,p08,ice-cream,ingredients,0,0.0,0.0,,,3,low_cal
Recording_p08,p08,ice-cream,buy_button,1,682.9,682.9,1078.4,4.022,2,low_cal
