Recording	Participant	Timeline	TOI	Interval	Media	Food_Category	AOI	Decision	Product_element	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording1	Participant 1	Timeline1	Burger	1	Burger	Meal	I would buy	I would buy			462	231	154	308	2	8956	308	I would buy	I would buy	2.28809	308	308	308	308	1	8956	308	2.30166	470	470	470	470	1	8956	470	518	518	518	518	1	8908	518	1	9398	442	0			1	8908		266.95					Aggregated								
Recording1	Participant 1	Timeline1	Burger	1	Burger	Meal	I would not buy	I would not buy			0				0			I would buy	I would buy		0				0				0				0			0				0			0			0			0								Aggregated								
Recording1	Participant 1	Timeline1	Burger	1	Burger	Meal	Ingredients		Ingredients		1924	275	200	356	7	1276	324	I would buy	I would buy	2.33317	1924	275	200	356	7	1276	324	2.33317	2048	2048	2048	2048	1	1276	2048	2060	2060	2060	2060	1	1264	2060	0			0			6		3324						Aggregated								
Recording1	Participant 1	Timeline1	Burger	1	Burger	Meal	Nutrition Label		Nutrition Label		4864	304	76	604	16	3552	260	I would buy	I would buy	2.37479	4864	304	76	604	16	3552	260	2.37479	5356	5356	5356	5356	1	3552	5356	5452	5452	5452	5452	1	3456	5452	0			0			14	3456	8908	411.45					Aggregated								
Recording1	Participant 1	Timeline1	Burger	1	Burger	Meal	Picture		Picture		944	189	128	340	5	0	184	I would buy	I would buy	2.23146	760	190	128	340	4	232	144	2.24283	1188	1188	1188	1188	1	0	1188	1188	1188	1188	1188	1	0	1188	0			0			3								Aggregated								
Recording1	Participant 1	Timeline1	Burger	1	Burger	Meal	Price		Price		0				0			I would buy	I would buy		0				0				0				0			0				0			0			0			0								Aggregated								
Recording1	Participant 1	Timeline1	Cereals	1	Cereals	Meal	I would buy	I would buy			0				0			I would not buy	I would not buy		0				0				0				0			0				0			0			0			0								Aggregated								
Recording1	Participant 1	Timeline1	Cereals	1	Cereals	Meal	I would not buy	I would not buy			589	196	157	224	3	6395	224	I would not buy	I would not buy		432	216	208	224	2	6395	224		613	307	224	389	2	6395	224	757	379	308	449	2	6311	308	1	17272	10876	0			1	6311	6619	399.48					Aggregated								
Recording1	Participant 1	Timeline1	Cereals	1	Cereals	Meal	Ingredients		Ingredients		3272	273	80	608	12	2107	308	I would not buy	I would not buy		3272	273	80	608	12	2107	308		3620	1810	904	2716	2	2107	2716	3696	1848	924	2772	2	2051	2772	0			0			9	2051	4823	327.77					Aggregated								
Recording1	Participant 1	Timeline1	Cereals	1	Cereals	Meal	Nutrition Label		Nutrition Label		5600	311	64	708	18	5283	564	I would not buy	I would not buy		5600	311	64	708	18	5283	564		6020	2007	708	4284	3	5283	1028	6236	2079	740	4360	3	5175	1136	0			0			14	5175	6311	423.87					Aggregated								
Recording1	Participant 1	Timeline1	Cereals	1	Cereals	Meal	Picture		Picture		2751	275	72	532	10	0	175	I would not buy	I would not buy		2576	286	72	532	9	255	72		2967	989	124	2051	3	0	2051	3095	1032	184	2051	3	0	2051	0			0			7	10979	2051	269.46					Aggregated								
Recording1	Participant 1	Timeline1	Cereals	1	Cereals	Meal	Price		Price		2636	2636	2636	2636	1	11407	2636	I would not buy	I would not buy		2636	2636	2636	2636	1	11407	2636		2636	2636	2636	2636	1	11407	2636	2660	2660	2660	2660	1	11383	2660	0			0			0	11383		133.05					Aggregated								
Recording1	Participant 1	Timeline1	Chips	1	Chips	Snack	I would buy	I would buy			468	156	12	252	3	3200	252	I would buy	I would buy		456	228	204	252	2	3200	252		492	246	12	480	2	3200	480	656	328	100	556	2	3124	556	1	10687	7488	0			1	3124	3680	373.33					Aggregated								
Recording1	Participant 1	Timeline1	Chips	1	Chips	Snack	I would not buy	I would not buy			0				0			I would buy	I would buy		0				0				0				0			0				0			0			0			0								Aggregated								
Recording1	Participant 1	Timeline1	Chips	1	Chips	Snack	Ingredients		Ingredients		2460	273	168	544	9	2040	320	I would buy	I would buy		2460	273	168	544	9	2040	320		2612	1306	1084	1528	2	2040	1084	2768	1384	1156	1612	2	1968	1156	0			0			7	1968	3124	303.64					Aggregated								
Recording1	Participant 1	Timeline1	Chips	1	Chips	Snack	Nutrition Label		Nutrition Label		4928	329	100	864	15	3744	208	I would buy	I would buy		4928	329	100	864	15	3744	208		5272	5272	5272	5272	1	3744	5272	5336	5336	5336	5336	1	3680	5336	0			0			14	3680	9016	408.54					Aggregated								
Recording1	Participant 1	Timeline1	Chips	1	Chips	Snack	Picture		Picture		1580	263	112	480	6	0	236	I would buy	I would buy		1344	269	112	480	5	288	112		1968	1968	1968	1968	1	0	1968	1968	1968	1968	1968	1	0	1968	0			0			3		1968						Aggregated								
Recording1	Participant 1	Timeline1	Chips	1	Chips	Snack	Price		Price		0				0			I would buy	I would buy		0				0				0				0			0				0			0			0			0								Aggregated								
Recording1	Participant 1	Timeline1	Chocolate bar	1	Chocolate bar	Snack	I would buy	I would buy			675	225	164	260	3	13250	164	I would buy	I would buy		424	212	164	260	2	13250	164		731	731	731	731	1	13250	731	827	827	827	827	1	13154	827	1	13940	690	0			2	13154		303.53					Aggregated								
Recording1	Participant 1	Timeline1	Chocolate bar	1	Chocolate bar	Snack	I would not buy	I would not buy			0				0			I would buy	I would buy		0				0				0				0			0				0			0			0			0								Aggregated								
Recording1	Participant 1	Timeline1	Chocolate bar	1	Chocolate bar	Snack	Ingredients		Ingredients		6488	282	104	588	23	790	564	I would buy	I would buy		6176	281	104	588	22	790	564		7160	2387	328	5548	3	790	5548	7372	2457	392	5620	3	718	5620	0			0			19	718	6338	356.43					Aggregated								
Recording1	Participant 1	Timeline1	Chocolate bar	1	Chocolate bar	Snack	Nutrition Label		Nutrition Label		2684	298	104	820	9	7082	240	I would buy	I would buy		2684	298	104	820	9	7082	240		2876	2876	2876	2876	1	7082	2876	2944	2944	2944	2944	1	7014	2944	0			0			8	7014	9958	286.85					Aggregated								
Recording1	Participant 1	Timeline1	Chocolate bar	1	Chocolate bar	Snack	Picture		Picture		2338	213	72	424	11	0	170	I would buy	I would buy		2168	217	72	424	10	202	168		2638	660	188	1128	4	0	718	2838	710	248	1196	4	0	718	0			0			6	6338	718	248.93					Aggregated								
Recording1	Participant 1	Timeline1	Chocolate bar	1	Chocolate bar	Snack	Price		Price		0				0			I would buy	I would buy		0				0				0				0			0				0			0			0			0								Aggregated								
Recording1	Participant 1	Timeline1	Chocolate cookies	1	Chocolate cookies	Dessert	I would buy	I would buy			316	316	316	316	1	16213	316	Price	Price		316	316	316	316	1	16213	316		316	316	316	316	1	16213	316	368	368	368	368	1	16161	368	1	20051	3838	0			0	16161		304.66					Aggregated								
Recording1	Participant 1	Timeline1	Chocolate cookies	1	Chocolate cookies	Dessert	I would not buy	I would not buy			480	240	192	288	2	15661	192	Price	Price		480	240	192	288	2	15661	192		500	500	500	500	1	15661	500	588	588	588	588	1	15573	588	0			0			1	15573	16161	315.81					Aggregated								
Recording1	Participant 1	Timeline1	Chocolate cookies	1	Chocolate cookies	Dessert	Ingredients		Ingredients		7248	315	168	540	23	3352	264	Price	Price		7248	315	168	540	23	3352	264		7820	7820	7820	7820	1	3352	7820	7888	7888	7888	7888	1	3284	7888	0			0			21	3284	11173	281.21					Aggregated								
