Recording timestamp,Computer timestamp,Sensor,Recording name,Participant name,Presented Stimulus name,Event,Event value,Gaze point X,Gaze point Y,Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Eye movement type,Gaze event duration,Fixation point X,Fixation point Y,Pupil diameter left,Pupil diameter right,Validity left,Validity right,Mouse position X,Mouse position Y,AOI hit [cake - buy],AOI hit [cake - cake-pic],AOI hit [cake - not-buy],AOI hit [pizza - buy],AOI hit [pizza - not-buy],AOI hit [pizza - pizza-pic],AOI hit [ice-cream - buy],AOI hit [ice-cream - ice-cream-pic],AOI hit [ice-cream - not-buy],AOI hit [cereal - buy],AOI hit [cereal - creal-pic],AOI hit [cereal - not-buy],AOI hit [date - buy],AOI hit [date - date-pic],AOI hit [date - not-buy]
0,1992383029,,Recording3,p03,,RecordingStart,,,,,,EyesNotFound,118.0,,,,,,,,,,,,,,,,,,,,,,,
9,1992383037,Eye Tracker,Recording3,p03,,,,,,,,EyesNotFound,118.0,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,
25,1992383054,Eye Tracker,Recording3,p03,,,,,,,,EyesNotFound,118.0,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,
42,1992383071,Eye Tracker,Recording3,p03,,,,,,,,EyesNotFound,118.0,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,
59,1992383087,Eye Tracker,Recording3,p03,,,,,,,,EyesNotFound,118.0,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,
75,1992383104,Eye Tracker,Recording3,p03,,,,,,,,EyesNotFound,118.0,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,
93,1992383121,Eye Tracker,Recording3,p03,,,,,,,,EyesNotFound,118.0,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,
109,1992383138,Eye Tracker,Recording3,p03,,,,,,,,EyesNotFound,118.0,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,
126,1992383155,Eye Tracker,Recording3,p03,,,,664.0,838.0,,,Unclassified,10.0,,,4.384,,Valid,Invalid,,,,,,,,,,,,,,,,,
130,1992383159,Eye Tracker,Recording3,p03,,,,,,,,EyesNotFound,27.0,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,
146,1992383175,Eye Tracker,Recording3,p03,,,,,,,,EyesNotFound,27.0,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,
163,1992383192,Eye Tracker,Recording3,p03,,,,699.0,937.0,,,Unclassified,10.0,,,4.299,,Valid,Invalid,,,,,,,,,,,,,,,,,
167,1992383196,Eye Tracker,Recording3,p03,,,,781.0,901.0,,,Unclassified,48.0,,,4.2,,Valid,Invalid,,,,,,,,,,,,,,,,,
185,1992383214,Eye Tracker,Recording3,p03,,,,748.0,901.0,,,Unclassified,48.0,,,4.266,,Valid,Invalid,,,,,,,,,,,,,,,,,
204,1992383233,Eye Tracker,Recording3,p03,,,,764.0,903.0,,,Unclassified,48.0,,,4.266,,Valid,Invalid,,,,,,,,,,,,,,,,,
222,1992383251,Eye Tracker,Recording3,p03,,,,728.0,863.0,,,Saccade,18.0,,,4.634,4.039,Valid,Valid,,,,,,,,,,,,,,,,,
239,1992383268,Eye Tracker,Recording3,p03,,,,766.0,925.0,,,Fixation,66.0,766.0,921.0,4.312,3.936,Valid,Valid,,,,,,,,,,,,,,,,,
255,1992383284,Eye Tracker,Recording3,p03,,,,762.0,925.0,,,Fixation,66.0,766.0,921.0,4.141,3.922,Valid,Valid,,,,,,,,,,,,,,,,,
272,1992383301,Eye Tracker,Recording3,p03,,,,769.0,909.0,,,Fixation,66.0,766.0,921.0,4.277,4.001,Valid,Valid,,,,,,,,,,,,,,,,,
289,1992383318,Eye Tracker,Recording3,p03,,,,768.0,949.0,,,Fixation,66.0,766.0,921.0,4.256,3.986,Valid,Valid,,,,,,,,,,,,,,,,,
305,1992383334,Eye Tracker,Recording3,p03,,,,957.0,805.0,,,Saccade,33.0,,,4.173,3.925,Valid,Valid,,,,,,,,,,,,,,,,,
322,1992383351,Eye Tracker,Recording3,p03,,,,1172.0,533.0,,,Saccade,33.0,,,4.356,4.282,Valid,Valid,,,,,,,,,,,,,,,,,
