# timestamps [seconds],pts
329353.719483,0
329353.954056,15372
329353.987566,17568
329354.021076,19764
329354.054587,21961
329354.088097,24157
329354.121608,26353
329354.155118,28549
329354.188628,30745
329354.222139,32941
329354.255649,35137
329354.289160,37333
329354.322670,39529
329354.356180,41725
329354.389691,43922
329354.423201,46118
329354.456712,48314
329354.490222,50510
329354.523732,52706
329354.557243,54902
329354.590753,57098
329354.624264,59294
329354.657774,61490
329354.691284,63686
329354.724795,65883
329354.758305,68079
329354.791816,70275
329354.825326,72471
329354.858836,74667
329354.892347,76863
329354.925857,79059
329354.959368,81255
329354.992878,83451
329355.026388,85648
329355.059899,87844
329355.093409,90040
329355.126920,92236
329355.160430,94432
329355.193940,96628
329355.227451,98824
329355.260961,101020
329355.294472,103216
329355.327982,105412
329355.361492,107609
329355.395003,109805
329355.428513,112001
329355.462024,114197
329355.495534,116393
329355.529044,118589
329355.562555,120785
329355.596065,122981
329355.629576,125177
329355.663086,127374
329355.696596,129570
329355.730107,131766
329355.763617,133962
329355.797128,136158
329355.830638,138354
329355.864148,140550
329355.897659,142746
329355.931169,144942
329355.964680,147138
329355.998190,149335
329356.031700,151531
329356.065211,153727
329356.098721,155923
329356.132232,158119
329356.165742,160315
329356.199252,162511
329356.232763,164707
329356.266273,166903
329356.299784,169100
329356.333294,171296
329356.366804,173492
329356.400315,175688
329356.433825,177884
329356.467336,180080
329356.500846,182276
329356.534356,184472
329356.567867,186668
329356.601377,188864
329356.634888,191061
329356.668398,193257
329356.701908,195453
329356.735419,197649
329356.768929,199845
329356.802440,202041
329356.835950,204237
329356.869460,206433
329356.902971,208629
329356.936481,210825
329356.969992,213022
329357.003502,215218
329357.037012,217414
329357.070523,219610
329357.104033,221806
329357.137544,224002
329357.171054,226198
329357.204564,228394
329357.238075,230590
329357.271585,232787
329357.305096,234983
329357.338606,237179
329357.372116,239375
329357.405627,241571
329357.439137,243767
329357.472648,245963
329357.506158,248159
329357.539668,250355
329357.573179,252551
329357.606689,254748
329357.640200,256944
329357.673710,259140
329357.707220,261336
329357.740731,263532
329357.774241,265728
329357.807752,267924
329357.841262,270120
329357.874772,272316
329357.908283,274513
329357.941793,276709
329357.975304,278905
329358.008814,281101
329358.042324,283297
329358.075835,285493
329358.109345,287689
329358.142856,289885
329358.176366,292081
329358.209876,294277
329358.243387,296474
329358.276897,298670
329358.310408,300866
329358.343918,303062
329358.377428,305258
329358.410939,307454
329358.444449,309650
329358.477960,311846
329358.511470,314042
329358.544980,316238
329358.578491,318435
329358.612001,320631
329358.645512,322827
329358.679022,325023
329358.712532,327219
329358.746043,329415
329358.779553,331611
329358.813064,333807
329358.846574,336003
329358.880084,338199
329358.913595,340396
329358.947105,342592
329358.980616,344788
329359.014126,346984
329359.047636,349180
329359.081147,351376
329359.114657,353572
329359.148168,355768
329359.181678,357964
329359.215188,360161
329359.248699,362357
329359.282209,364553
329359.315720,366749
329359.349230,368945
329359.382740,371141
329359.416251,373337
329359.449761,375533
329359.483272,377729
329359.516782,379925
329359.550292,382122
329359.583803,384318
329359.617313,386514
329359.650824,388710
329359.684334,390906
329359.717844,393102
329359.751355,395298
329359.784865,397494
329359.818376,399690
329359.851886,401887
329359.885396,404083
329359.918907,406279
329359.952417,408475
329359.985928,410671
329360.019438,412867
329360.052948,415063
329360.086459,417259
329360.119969,419455
329360.153480,421651
329360.186990,423848
329360.220500,426044
329360.254011,428240
329360.287521,430436
329360.321032,432632
329360.354542,434828
329360.388052,437024
329360.421563,439220
329360.455073,441416
329360.488584,443613
329360.522094,445809
329360.555604,448005
329360.589115,450201
329360.622625,452397
329360.656136,454593
329360.689646,456789
329360.723156,458985
329360.756667,461181
329360.790177,463377
329360.823688,465574
329360.857198,467770
329360.890708,469966
329360.924219,472162
329360.957729,474358
329360.991240,476554
329361.024750,478750
329361.058260,480946
329361.091771,483142
329361.125281,485338
329361.158792,487535
329361.192302,489731
329361.225812,491927
329361.259323,494123
329361.292833,496319
329361.326344,498515
329361.359854,500711
329361.393364,502907
329361.426875,505103
329361.460385,507300
329361.493896,509496
329361.527406,511692
329361.560916,513888
329361.594427,516084
