Recording	Participant	Timeline	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_fixations.whole_page	Average_duration_of_fixations.whole_page	Minimum_duration_of_fixations.whole_page	Maximum_duration_of_fixations.whole_page	Number_of_fixations.whole_page	Time_to_first_fixation.whole_page	Duration_of_first_fixation.whole_page	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter.whole_page	Total_duration_of_whole_fixations.whole_page	Average_duration_of_whole_fixations.whole_page	Minimum_duration_of_whole_fixations.whole_page	Maximum_duration_of_whole_fixations.whole_page	Number_of_whole_fixations.whole_page	Time_to_first_whole_fixation.whole_page	Duration_of_first_whole_fixation.whole_page	Average_whole-fixation_pupil_diameter.whole_page	Total_duration_of_Visit.whole_page	Average_duration_of_Visit.whole_page	Minimum_duration_of_Visit.whole_page	Maximum_duration_of_Visit.whole_page	Number_of_Visits.whole_page	Time_to_first_Visit.whole_page	Duration_of_first_Visit.whole_page	Total_duration_of_Glances.whole_page	Average_duration_of_Glances.whole_page	Minimum_duration_of_Glances.whole_page	Maximum_duration_of_Glances.whole_page	Number_of_Glances.whole_page	Time_to_first_Glance.whole_page	Duration_of_first_Glance.whole_page	Number_of_mouse_clicks.whole_page	Time_to_first_mouse_click.whole_page	Time_from_first_fixation_to_mouse_click.whole_page	Number_of_mouse_clicks_and_releases.whole_page	Time_to_first_mouse_click_and_release.whole_page	Time_from_first_fixation_to_mouse_click_and_release.whole_page	Average_GSR	Number_of_SCR	Amplitude_of_event_related_SCR	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade	Number_of_saccades_in_AOI.whole_page	Time_to_entry_saccade.whole_page	Time_to_exit_saccade.whole_page	Peak_velocity_of_entry_saccade.whole_page
Recording1	P 01	Timeline1	1	1	1	91004	28621	VolumeUp																																								0		38301	684	56	233	3	55	45.29	30.09	140.74	19.18	3.66	0.81	15.65	201.09	788	8.36	36.56	36.4	3.18				
Recording1	P 01	Timeline1	fixation	1	fixation	26231	2390																																									0		23434	4687	5	850	3	6	46.21	31.26	77.34	16.74	2.27	0.67	3.51	13.6	2169	173.29	77.34	77.34	1.77				
Recording1	P 01	Timeline1	fixation	2	fixation	17999	119626	Escape																																								0		9900	2475	4	100	3	3	58.35	30.74	110.87	45.5	4.33	1.68	8.17	12.98	668	357.55	33.44	33.44	1.68				
Recording1	P 01	Timeline1	Entire Recording	1	1,fixation	138626	0	Escape																																								0		71635	1102	65	850	3	64	45.99	30.09	140.74	20.27	3.56	0.67	15.65	227.67	4558	173.29	77.34	77.34	1.77				
Recording2	P 01	Timeline1	1	1	1	4304	377607	Escape																																							4.84972	0		1835	229	8	224	3.55404	7	131.35	40.04	365.37	116.22	5.86	1.79	15.97	41.04	384	85.26	134.78	134.78	6.49				
Recording2	P 01	Timeline1	3	1	3	60267	310845	VolumeUp	47406	389	72	2310	122	4252	672	whole page		3.84094	45798	391	72	2310	117	4252	672	3.83375	54827	13707	458	52983	4	4252	672	55081	13770	532	53082	4	4210	715	0			0			4.64773	6	0.5159	47273	381	124	225	3.83211	118	127.6	31.85	408.08	87.53	5.82	0.75	20.23	687.28	216	112.14	160.96	160.96	5.46	106	4210	4924	408.08
Recording2	P 01	Timeline1	fixation	1	fixation	3625	307220																																								4.80442	1	0.29955	899	449	2	630	3.93788	3	75.73	48.38	128.56	45.77	2.84	1.25	5.66	8.53	216	252.71	128.56	128.56	5.66				
Recording2	P 01	Timeline1	fixation	2	fixation	6495	371112																																								4.98151	0		4774	530	9	150	3.17884	10	115.29	40.52	238.11	70.46	5.14	1.8	11.73	51.42	180	265.19	195.49	135.71	10.26				
Recording2	P 01	Timeline1	Entire Recording	1	1,3,fixation	382802	0	Escape	47406	389	72	2310	122	315097	672	whole page		3.84094	45798	391	72	2310	117	315097	672	3.83375	54827	13707	458	52983	4	315097	672	55081	13770	532	53082	4	315055	715	0			0			4.18279	45		166749	394	423	116	4.20281	379	117.28	30.09	473.3	88.34	5.59	0.19	27.26	2118.6	424	311.81	75.15	63.85	5.12	106	315055	315769	408.08
Recording3	Participant1	Timeline1	2	1	2	4053	204120	Escape																																							2.13513	0		0		0			0																	
