recording,stimulus,n,pct_diy_vs_pkg,pct_diy_vs_tobii
Recording1,cake,186,100.0,76.6
Recording1,cereal,462,100.0,74.3
Recording1,date,350,100.0,73.3
Recording1,ice-cream,322,100.0,70.7
Recording1,pizza,439,100.0,82.8
Recording2,cake,522,100.0,77.0
Recording2,cereal,412,100.0,79.1
Recording2,date,438,100.0,64.7
Recording2,ice-cream,614,100.0,77.2
Recording2,pizza,360,100.0,86.7
Recording3,cake,551,100.0,80.6
Recording3,cereal,502,100.0,67.5
Recording3,date,528,100.0,72.7
Recording3,ice-cream,344,100.0,75.1
Recording3,pizza,565,100.0,77.9
